id,dateAdded,dateUpdated,address,categories,city,country,keys,latitude,longitude,name,postalCode,province,sourceURLs,websites
AVwcmSyZIN2L1WUfmxyw,2015-10-19T23:47:58Z,2018-06-26T03:00:14Z,800 N Canal Blvd,American Restaurant and Fast Food Restaurant,Thibodaux,US,us/la/thibodaux/800ncanalblvd/1780593795,29.814697,-90.814742,SONIC Drive In,70301,LA,"https://foursquare.com/v/sonic-drive-in/4b73615df964a520abab2de3/menu,https://foursquare.com/v/sonic-drive-in/4b73615df964a520abab2de3,http://tripadvisor.com/Restaurant_Review-g40459-d4654052-Reviews-Sonic_Drive_In-Thibodaux_Louisiana.html,https://www.yellowpages.com/thibodaux-la/mip/sonic-drive-in-468367546","https://locations.sonicdrivein.com/la/thibodaux/800-north-canal-boulevard.html,http://sonicdrivein.com,http://www.sonicdrivein.com"
AVwcmSyZIN2L1WUfmxyw,2015-10-19T23:47:58Z,2018-06-26T03:00:14Z,800 N Canal Blvd,Fast Food Restaurants,Thibodaux,US,us/la/thibodaux/800ncanalblvd/1780593795,29.814697,-90.814742,SONIC Drive In,70301,LA,"https://foursquare.com/v/sonic-drive-in/4b73615df964a520abab2de3/menu,https://foursquare.com/v/sonic-drive-in/4b73615df964a520abab2de3,http://tripadvisor.com/Restaurant_Review-g40459-d4654052-Reviews-Sonic_Drive_In-Thibodaux_Louisiana.html,https://www.yellowpages.com/thibodaux-la/mip/sonic-drive-in-468367546","https://locations.sonicdrivein.com/la/thibodaux/800-north-canal-boulevard.html,http://sonicdrivein.com,http://www.sonicdrivein.com"
AVwcopQoByjofQCxgfVa,2016-03-29T05:06:36Z,2018-06-26T02:59:52Z,206 Wears Valley Rd,Fast Food Restaurant,Pigeon Forge,US,us/tn/pigeonforge/206wearsvalleyrd/-864103396,35.803788,-83.580553,Taco Bell,37863,TN,"https://www.yellowpages.com/pigeon-forge-tn/mip/taco-bell-474241430,https://foursquare.com/v/taco-bell/4ded6885d22deb0316df557d/menu,https://foursquare.com/v/taco-bell/4ded6885d22deb0316df557d","http://www.tacobell.com,https://locations.tacobell.com/tn/pigeon-forge/206-wears-valley-road.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=026432andutm_content=website"
AVweXN5RByjofQCxxilK,2017-01-03T07:46:11Z,2018-06-26T02:59:51Z,3652 Parkway,Fast Food,Pigeon Forge,US,us/tn/pigeonforge/3652parkway/93075755,35.782339,-83.551408,Arby's,37863,TN,"http://www.yellowbook.com/profile/arbys_1633893026.html,https://foursquare.com/v/arbys/4bae29f8f964a520348c3be3,https://www.yellowpages.com/pigeon-forge-tn/mip/arbys-6911678,https://www.allmenus.com/tn/pigeon-forge/166343-arbys/menu/,http://tripadvisor.com/Restaurant_Review-g55270-d1123265-Reviews-Arby_s-Pigeon_Forge_Tennessee.html,http://www.citysearch.com/profile/9409306/pigeon_forge_tn/arby_s.html","http://www.arbys.com,https://locations.arbys.com/us/tn/pigeon-forge/3652-parkway.html"
AWQ6MUvo3-Khe5l_j3SG,2018-06-26T02:59:43Z,2018-06-26T02:59:43Z,2118 Mt Zion Parkway,Fast Food Restaurant,Morrow,US,us/ga/morrow/2118mtzionparkway/1305117222,33.562738,-84.321143,Steak 'n Shake,30260,GA,https://foursquare.com/v/steak-n-shake/4bcf77a741b9ef3bb87df8e5,http://www.steaknshake.com/locations/23851-steak-n-shake-mt-zion-parkway-morrow
AVwc57jLkufWRAb50ROs,2015-10-23T23:59:49Z,2018-06-26T02:59:43Z,9768 Grand River Ave,Fast Food Restaurant,Detroit,US,us/mi/detroit/9768grandriverave/-791445730,42.368823,-83.138251,Wendy's,48204,MI,"https://foursquare.com/v/wendys/4bfec191e584c928932f6d25,http://tripadvisor.com/Restaurant_Review-g42139-d4455438-Reviews-Wendy_s-Detroit_Michigan.html,http://www.yellowpages.com/detroit-mi/mip/wendys-5831913",http://www.wendys.com
AVwc81QgkufWRAb50vnI,2015-09-21T07:47:08Z,2018-06-26T02:59:43Z,13600 W McNichols Rd,Fast Food Restaurant,Detroit,US,us/mi/detroit/13600wmcnicholsrd/-2061630068,42.416819,-83.180444,Burger King,48235,MI,"https://foursquare.com/v/burger-king/4bab7981f964a5202dac3ae3,http://www.citysearch.com/profile/5246009/detroit_mi/burger_king.html,https://www.allmenus.com/mi/detroit/197295-burger-king/menu/,https://foursquare.com/v/burger-king/4bab7981f964a5202dac3ae3/menu","http://bk.com,http://www.bk.com"
AVwdVafPByjofQCxoA6y,2016-06-06T16:15:08Z,2018-06-26T02:59:41Z,4111 Oceanside Blvd,Fast Food,Oceanside,US,us/ca/oceanside/4111oceansideblvd/1143321601,33.205722,-117.288645,Chipotle Mexican Grill,92056,CA,"https://www.trip.com/oceanside-ca/restaurants/chipotle-mexican-grill,https://foursquare.com/v/chipotle-mexican-grill/4e80d9b3d3e391bacbe0c0fe,http://www.yellowpages.com/oceanside-ca/mip/la-salsa-fresh-mexican-grill-458014537","http://www.chipotle.com,http://www.lasalsa.com"
AVwc4JQKIN2L1WUfp3hU,2016-12-13T12:34:52Z,2018-06-26T02:59:32Z,162 Old Country Rd,Fast Food Restaurants,Riverhead,US,us/ny/riverhead/162oldcountryrd/267504952,40.937359,-72.650142,7-Eleven,11901,NY,"http://www.local.com/business/details/yx/riverhead-ny/7-eleven-2135514/,https://foursquare.com/v/7eleven/4c4f0e261b8e1b8d21a23228,https://www.yellowpages.com/riverhead-ny/mip/7-eleven-461811432,http://www.citysearch.com/profile/769574970/riverhead_ny/7_eleven.html","http://www.7-eleven.com/?yext=39326,http://www.7-eleven.com"
AVwdhkOGByjofQCxp9qV,2016-04-16T16:20:41Z,2018-06-25T12:05:40Z,1407 S Stockton Ave,Fast Food Restaurant,Monahans,US,us/tx/monahans/1407sstocktonave/-1721138121,31.580721,-102.891455,Dairy Queen,79756,TX,"https://foursquare.com/v/dairy-queen/4bd4fd7b6798ef3b63d1628d,https://www.dairyqueen.com/us-en/locator/Detail/4202,https://www.allmenus.com/tx/monahans/162400-dairy-queen/menu/,http://www.citysearch.com/profile/644323874/monahans_tx/dairy_queen.html,https://foursquare.com/v/dairy-queen/4bd4fd7b6798ef3b63d1628d/menu,http://tripadvisor.com/Restaurant_Review-g56306-d4611939-Reviews-Dairy_Queen-Monahans_Texas.html","http://www.dairyqueen.com,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJqRG97esP_MxDChA8jm1fugloTMDPF7zOe73z7Rzg5g9Epb5tslb4Ce2O9bVs-3osjI7W1LXK0P8-ceZJLb_Zm0NuJ46OZRPXqASUtjZowHbqYHz_KHREl3SRL-RlGbE5woot3O2zSqAWVHg-OlWhMHHJ9TR1jaOXMbzQAnUcZehcpq17Fx8TdD5LnknOH2OhntcYkp-Hmhc2uj_O6yVorIqEVf5Z62kWufiQ_mpIyS3EC2lcbYW-Qo4k6KLlDUXBhz61tD0Ed-XxpaLD24rGhItu5TjcLVVa3Tx4vbMdbUZcI1ZgYjFCwkqBDsIe7zQCbZJ1aOHgTBcCkHjLqSMEJ-VSSeMC2Y1vDdmeULpiA18&placement=listing_profile&cs_user=unknown&cs_session=9e084e19d8cf38f4a2ac131f1e6b96b494a6e801"
AVwc2ok4IN2L1WUfpnU2,2016-04-03T01:24:16Z,2018-06-25T12:05:39Z,208 W Mason St,Fast Food Restaurant and Ice Cream Shop,Mabank,US,us/tx/mabank/208wmasonst/-1721138121,32.36602,-96.103364,Dairy Queen,75147,TX,"https://www.allmenus.com/tx/mabank/162372-dairy-queen/menu/,https://www.dairyqueen.com/us-en/locator/Detail/4161,https://foursquare.com/v/dairy-queen/4ddbee80d22d22fb7c88fd31/menu,https://foursquare.com/v/dairy-queen/4ddbee80d22d22fb7c88fd31",http://dairyqueen.com
