"Number_of_Restaurants","City","State","Income_Mean","Income_Median"
2,"Chantilly","VA",190865,300000
2,"Agoura Hills","CA",182475,300000
1,"Clarksville","MD",170772,180731.5
1,"Cypress","CA",163746.5,235034
1,"Manhattan Beach","CA",162495.25,181582.5
1,"Southlake","TX",158531,300000
2,"Ellicott City","MD",154167,229817.4
1,"Jericho","NY",148568.33333333334,152384.33333333334
1,"Burlingame","CA",147438.5,223761.5
1,"Bellmore","NY",145410,216687
1,"Westborough","MA",142576,300000
1,"Chanhassen","MN",140455,126689
1,"Fairfax","VA",134946,200121.27272727274
1,"Olmsted Falls","OH",134124,126545
1,"Redmond","WA",133288.875,194882.625
1,"Granite Bay","CA",132808,126823
1,"Palo Alto","CA",131706.11111111112,151176.22222222222
1,"Cary","IL",130324.75,159766.75
1,"Gurnee","IL",129296.66666666667,221246.33333333334
2,"Shakopee","MN",126672,122458
1,"Kingsburg","CA",124958,108583
2,"Hilliard","OH",123961.75,204194.25
1,"Santa Clara","CA",123682.09090909091,179375
1,"Arlington","MA",123628.83333333333,170922.16666666666
2,"West Linn","OR",122818,106896.33333333333
2,"Glastonbury","CT",121767.5,300000
1,"Sunnyvale","CA",121553.5,132776
1,"Budd Lake","NJ",119379,300000
1,"Milpitas","CA",119131.6,122828.2
1,"Coopersburg","PA",118849,300000
1,"Watertown","MA",118624.33333333333,229034.33333333334
1,"Norwood","NJ",118113,94877
1,"Pleasantville","NY",118072,108164
1,"Wilmington","MA",118001,111923
1,"San Ramon","CA",117885.4,141478.2
1,"Highland Park","IL",117319,103436.33333333333
1,"Encinitas","CA",117298.5,109243.25
1,"Mandeville","LA",116183.5,160830.75
1,"Park City","UT",116005,113647.66666666667
1,"Culver City","CA",115271.5,149461
1,"Cypress","TX",115092.6,174232.6
1,"Falls Church","VA",114352.75,152513.58333333334
1,"Milford","OH",113953.8,180203.4
2,"Yorktown","VA",113416.33333333333,169872.66666666666
2,"Algonquin","IL",113415,104450.5
1,"Mountain View","CA",112980.66666666667,134245
5,"Fremont","CA",112430.4705882353,134866.82352941178
1,"Cedarburg","WI",112242,156563
1,"Newbury Park","CA",111982,99308.66666666667
1,"Spring Hill","TN",111931,300000
2,"Ann Arbor","MI",111892.9375,174064.75
2,"Campbell","CA",111889.14285714286,155007.42857142858
1,"Centereach","NY",111347,197125.5
1,"Milford","CT",111142,165094
1,"Dublin","CA",110983.5,107038
1,"Keller","TX",110490.71428571429,156830.2857142857
