"Address","City","State","Zip_Code","Name","Income_Mean","Income_Median"
"1205 6th Ave Se","Aberdeen","SD",57401,"Arby's",55044,47793.333333333336
"4341 South 1st Street","Abilene","TX",79605,"Taco Bell",51258.92307692308,79425.53846153847
"2810 S 14th St","Abilene","TX",79605,"Subway",51258.92307692308,79425.53846153847
"3824 S Clack St","Abilene","TX",79606,"Arby's",51258.92307692308,79425.53846153847
"470 Cummings St","Abingdon","VA",24210,"Arby's",60952.5,47182.5
"3630 Cobb Pkwy Nw","Acworth","GA",30101,"Burger King",89157,120652.8
"5080 Cherokee St","Acworth","GA",30101,"Taco Bell",89157,120652.8
"5020 Cherokee Road","Acworth","GA",30101,"Krystal",89157,120652.8
"3319 Cobb Pkwy Nw","Acworth","GA",30101,"Arby's",89157,120652.8
"500 N Mississippi","Ada","OK",74820,"Taco Bell",42968,34875.333333333336
"7867 Adairsville Hwy","Adairsville","GA",30103,"Taco Bell",53935,55242
"101 Princeton Blvd","Adairsville","GA",30103,"Hardee's",53935,55242
"5697 Kanan Rd","Agoura Hills","CA",91301,"Baskin-Robbins",182475,300000
"30651 Thousand Oaks Blvd","Agoura Hills","CA",91301,"Ameci Pizza & Pasta",182475,300000
"2571 Whiskey Rd","Aiken","SC",29803,"Subway",68318,117242.71428571429
"1650 Copley Rd","Akron","OH",44320,"McDonald's",51568.142857142855,50195.68571428571
"260 E Cuyahoga Falls Ave","Akron","OH",44310,"Dairy Queen",51568.142857142855,50195.68571428571
"3454 Manchester Rd","Akron","OH",44319,"Mr. Hero",51568.142857142855,50195.68571428571
"3273 Manchester Rd","Akron","OH",44319,"McDonald's",51568.142857142855,50195.68571428571
"1345 Vernon Odom Blvd","Akron","OH",44320,"Rally's",51568.142857142855,50195.68571428571
"901 Marina Village Pkwy","Alameda","CA",94501,"Round Table Pizza",89726.375,72782.25
"900 San Pablo Ave","Albany","CA",94706,"Subway",98633,300000
"1637 Liberty Expy SE","Albany","GA",31705,"Subway",46413.53846153846,54255.46153846154
"1103 N Westover Blvd","Albany","GA",31707,"Subway",46413.53846153846,54255.46153846154
"31 Holland Ave","Albany","NY",12209,"McDonald's",56957.21428571428,131951.57142857142
"1814 Central Ave","Albany","NY",12205,"McDonald's",56957.21428571428,131951.57142857142
"1066 Madison Ave","Albany","NY",12208,"Subway",56957.21428571428,131951.57142857142
"106 Wolf Rd","Albany","NY",12205,"McDonald's",56957.21428571428,131951.57142857142
